OID_,vpuID,domain,start_DomL,end_DomLoc,FlowDir,multInt,long,lat,hl_link,flag,poi_id,flowpath_id,nex_id,START_X,START_Y,END_X,END_Y,order_,TopWdth,TopWdthCC,outside
1,04,conus,o,i,1,0,-91.254709234343636,47.319518285840275,LakeSuperior1,,13872,wb-644799,nex-644796,-91.295056020199993,47.325676992799998,-91.268294679700006,47.330452862000001,1.000000000000000,3.408568126672790,10.225704380018399,0
10,04,conus,o,i,1,0,-91.636375217242460,47.071312591203196,LakeSuperior10,,72779,wb-644874,nex-644872,-91.655672158599998,47.095477935399998,-91.624451545599996,47.070983134300000,1.000000000000000,4.126140000160560,12.378420000481700,0
100,04,conus,o,i,1,0,-89.745036766133808,47.940775401563599,LakeSuperior100,,67652,wb-646556,nex-646557,-89.760557654799996,47.953898787299998,-89.749963316299997,47.941269253000002,1.000000000000000,4.746559322295480,14.239677966886401,0
101,04,conus,o,i,1,0,-89.825730510554592,47.901757596036305,LakeSuperior101,,75855,wb-646560,nex-646559,-89.825811667300002,47.906296642900003,-89.840528869500005,47.891592239799998,1.000000000000000,3.631322220190150,10.893966660570500,0
102,04,conus,o,i,1,0,-89.862989796142131,47.893434669974113,LakeSuperior102,,75858,wb-646563,nex-646564,-89.856419342500004,47.901324773399999,-89.860835343399998,47.898150439299997,2.000000000000000,8.914503018554790,26.743509055664401,0
103,04,conus,o,i,1,0,-89.945000914260731,47.876816687839948,LakeSuperior103,,75868,wb-646569,nex-646570,-89.974722778800000,47.903103231999999,-89.931819894000000,47.870315163900003,1.000000000000000,6.517096432306230,19.551289296918700,0
104,04,conus,o,i,1,0,-89.652266088009526,48.003662571270695,LakeSuperior104,,75885,wb-646608,nex-646609,-89.665794834200000,48.007411067900001,-89.655787631099997,48.007551202000002,4.000000000000000,29.760472924633799,89.281418773901393,0
105,04,conus,o,i,1,0,-90.054054532090959,47.835037269354530,LakeSuperior105,,75884,wb-646710,nex-646711,-90.068306603600007,47.879359022199999,-90.049787589499999,47.825127149399997,3.000000000000000,20.689451330029101,62.068353990087402,0
106,04,conus,o,i,1,0,-90.155456440062608,47.813270020994707,LakeSuperior106,,75882,wb-646774,nex-646773,-90.171201025599999,47.819869140100003,-90.169631023099996,47.806827605099997,1.000000000000000,3.972801233548070,11.918403700644200,0
107,04,conus,o,i,1,0,-90.174343507946503,47.809425527166411,LakeSuperior107,,75882,wb-646774,nex-646773,-90.171201025599999,47.819869140100003,-90.169631023099996,47.806827605099997,1.000000000000000,3.972801233548070,11.918403700644200,0
108,04,conus,o,i,1,0,-90.192377383609312,47.802785465576846,LakeSuperior108,,75879,wb-646776,nex-646777,-90.219491043100007,47.838204805899998,-90.183823558699999,47.793893602399997,2.000000000000000,8.941262748569409,26.823788245708201,0
109,04,conus,o,i,1,0,-90.221131539588839,47.795113145055666,LakeSuperior109,,75881,wb-646781,nex-646782,-90.235258444600007,47.817405601899999,-90.222221239400000,47.808988735000000,1.000000000000000,3.200259809271340,9.600779427814020,0
